year,raceName,driverFullname,constructorName,position,stop,milliseconds
2011,Italian Grand Prix,Jenson Button,McLaren,2,2.0,22095.0
2011,Italian Grand Prix,Jenson Button,McLaren,2,1.0,21660.0
2011,Italian Grand Prix,Sebastian Vettel,Red Bull,1,2.0,21378.0
2011,Italian Grand Prix,Sebastian Vettel,Red Bull,1,1.0,22124.0
2011,Belgian Grand Prix,Timo Glock,Virgin,18,4.0,21721.0
2011,Belgian Grand Prix,Lewis Hamilton,McLaren,\N,1.0,21895.0
2011,Italian Grand Prix,Fernando Alonso,Ferrari,3,1.0,22539.0
2011,Italian Grand Prix,Lewis Hamilton,McLaren,4,1.0,22083.0
2011,Belgian Grand Prix,Timo Glock,Virgin,18,3.0,24204.0
2011,Italian Grand Prix,Fernando Alonso,Ferrari,3,2.0,21989.0
2011,Italian Grand Prix,Felipe Massa,Ferrari,6,2.0,22148.0
2011,Italian Grand Prix,Felipe Massa,Ferrari,6,1.0,21821.0
2011,Italian Grand Prix,Lewis Hamilton,McLaren,4,2.0,21876.0
2011,Belgian Grand Prix,Timo Glock,Virgin,18,2.0,13914.0
2011,Belgian Grand Prix,Felipe Massa,Ferrari,8,1.0,22267.0
2011,Belgian Grand Prix,Jérôme d'Ambrosio,Virgin,17,2.0,22114.0
2011,Belgian Grand Prix,Fernando Alonso,Ferrari,4,2.0,21243.0
2011,Belgian Grand Prix,Felipe Massa,Ferrari,8,2.0,21856.0
2011,Belgian Grand Prix,Felipe Massa,Ferrari,8,3.0,21485.0
2011,Belgian Grand Prix,Jérôme d'Ambrosio,Virgin,17,1.0,22939.0
2011,Belgian Grand Prix,Timo Glock,Virgin,18,1.0,35092.0
2011,Singapore Grand Prix,Felipe Massa,Ferrari,9,4.0,30983.0
2011,Singapore Grand Prix,Felipe Massa,Ferrari,9,3.0,30478.0
2011,Singapore Grand Prix,Felipe Massa,Ferrari,9,1.0,30290.0
2011,Singapore Grand Prix,Felipe Massa,Ferrari,9,2.0,32351.0
2011,Belgian Grand Prix,Fernando Alonso,Ferrari,4,1.0,20994.0
2011,Singapore Grand Prix,Lewis Hamilton,McLaren,5,4.0,30706.0
2011,Italian Grand Prix,Timo Glock,Virgin,15,2.0,22784.0
2011,Italian Grand Prix,Timo Glock,Virgin,15,1.0,25147.0
2011,Singapore Grand Prix,Lewis Hamilton,McLaren,5,5.0,29876.0
2011,Singapore Grand Prix,Sebastian Vettel,Red Bull,1,1.0,30023.0
2011,Singapore Grand Prix,Lewis Hamilton,McLaren,5,3.0,24342.0
2011,Singapore Grand Prix,Lewis Hamilton,McLaren,5,2.0,33456.0
2011,Singapore Grand Prix,Lewis Hamilton,McLaren,5,1.0,30142.0
2011,Singapore Grand Prix,Fernando Alonso,Ferrari,4,3.0,29972.0
2011,Singapore Grand Prix,Fernando Alonso,Ferrari,4,2.0,30387.0
2011,Singapore Grand Prix,Fernando Alonso,Ferrari,4,1.0,30621.0
2011,Singapore Grand Prix,Mark Webber,Red Bull,3,3.0,30413.0
2011,Singapore Grand Prix,Mark Webber,Red Bull,3,1.0,30462.0
2011,Singapore Grand Prix,Jenson Button,McLaren,2,3.0,30305.0
2011,Singapore Grand Prix,Jenson Button,McLaren,2,2.0,29921.0
2011,Singapore Grand Prix,Jenson Button,McLaren,2,1.0,30169.0
2011,Singapore Grand Prix,Sebastian Vettel,Red Bull,1,3.0,30796.0
2011,Singapore Grand Prix,Sebastian Vettel,Red Bull,1,2.0,30809.0
2011,Singapore Grand Prix,Mark Webber,Red Bull,3,2.0,31204.0
2011,Belgian Grand Prix,Jenson Button,McLaren,3,3.0,21640.0
2011,Belgian Grand Prix,Jenson Button,McLaren,3,1.0,26046.0
2011,Hungarian Grand Prix,Jenson Button,McLaren,1,3.0,20046.0
2011,Hungarian Grand Prix,Jenson Button,McLaren,1,2.0,21065.0
2011,Hungarian Grand Prix,Jenson Button,McLaren,1,1.0,21786.0
2011,German Grand Prix,Jenson Button,McLaren,\N,1.0,20952.0
2011,Hungarian Grand Prix,Sebastian Vettel,Red Bull,2,1.0,20690.0
2011,German Grand Prix,Jérôme d'Ambrosio,Virgin,18,2.0,23588.0
2011,German Grand Prix,Jérôme d'Ambrosio,Virgin,18,1.0,20762.0
2011,German Grand Prix,Timo Glock,Virgin,17,2.0,21252.0
2011,Hungarian Grand Prix,Sebastian Vettel,Red Bull,2,2.0,20611.0
2011,Hungarian Grand Prix,Fernando Alonso,Ferrari,3,1.0,22886.0
2011,Hungarian Grand Prix,Mark Webber,Red Bull,5,5.0,20715.0
2011,Hungarian Grand Prix,Mark Webber,Red Bull,5,4.0,21122.0
2011,Hungarian Grand Prix,Mark Webber,Red Bull,5,3.0,20673.0
2011,Hungarian Grand Prix,Mark Webber,Red Bull,5,2.0,20000.0
2011,Hungarian Grand Prix,Mark Webber,Red Bull,5,1.0,20854.0
2011,Hungarian Grand Prix,Lewis Hamilton,McLaren,4,6.0,13173.0
2011,Hungarian Grand Prix,Sebastian Vettel,Red Bull,2,3.0,19664.0
2011,Hungarian Grand Prix,Lewis Hamilton,McLaren,4,5.0,21628.0
